barber_pole_exact,checkerboard_exact,config_sha256,duration_seconds,effort,exit_code,finished_at,has_response,horizontal_disagreement,job_id,leading_indent_rows,line_count,model,narrow_conventional_only,no_prose_or_fences,opening_exactly_one_heart,opening_family,opening_glyph,periodic_fit,periodic_period,periodic_slope,provider,sample_index,started_at,timed_out,vertical_disagreement,wall_begins_next_line,wall_distinct_families,wall_distinct_glyphs,wall_dominant_family,wall_dominant_glyph,wall_family_entropy_bits,wall_glyph_entropy_bits,wall_matches_opening_fraction,wall_max_columns,wall_median_columns,wall_min_columns,wall_occupancy,wall_only_hearts_and_linebreaks,wall_parseable,wall_rectangular,wall_rows,wall_total_hearts
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,6.34,high,0,2026-09-15T23:45:57.643704+00:00,True,0,codex-gpt-6-astra-high-021,0,2,gpt-6-astra,True,True,True,red,❤️,,,,codex,21,2026-09-15T23:45:51.303450+00:00,False,,True,1,1,red,❤️,-0.0,-0.0,1.0,12,12,12,1.0,True,True,True,1,12
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,6.433,medium,0,2026-09-15T23:45:57.736321+00:00,True,0,codex-gpt-6-astra-medium-011,0,2,gpt-6-astra,True,True,True,red,❤️,,,,codex,11,2026-09-15T23:45:51.303802+00:00,False,,True,1,1,red,❤️,-0.0,-0.0,1.0,10,10,10,1.0,True,True,True,1,10
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,6.751,medium,0,2026-09-15T23:45:58.053610+00:00,True,0,codex-gpt-6-astra-medium-010,0,2,gpt-6-astra,True,True,True,red,❤️,,,,codex,10,2026-09-15T23:45:51.302248+00:00,False,,True,1,1,red,❤️,-0.0,-0.0,1.0,10,10,10,1.0,True,True,True,1,10
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,7.723,medium,0,2026-09-15T23:45:59.024527+00:00,True,0,codex-gpt-6-astra-medium-039,0,4,gpt-6-astra,True,True,True,red,❤️,,,,codex,39,2026-09-15T23:45:51.301739+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,8,8,8,1.0,True,True,True,3,24
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,12.375,ultra,0,2026-09-15T23:46:03.677118+00:00,True,0,codex-gpt-6-astra-ultra-009,0,5,gpt-6-astra,True,True,True,red,❤️,,,,codex,9,2026-09-15T23:45:51.302457+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,8,8.0,8,1.0,True,True,True,4,32
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,12.812,max,0,2026-09-15T23:46:04.114149+00:00,True,0,codex-gpt-6-astra-max-040,0,5,gpt-6-astra,True,True,True,red,❤️,,,,codex,40,2026-09-15T23:45:51.301940+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,10,10.0,10,1.0,True,True,True,4,40
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,9.363,ultra,0,2026-09-15T23:46:07.006624+00:00,True,0,codex-gpt-6-astra-ultra-038,0,5,gpt-6-astra,True,True,True,red,❤️,,,,codex,38,2026-09-15T23:45:57.643755+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,8,8.0,8,1.0,True,True,True,4,32
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,9.548,xhigh,0,2026-09-15T23:46:07.601682+00:00,True,0,codex-gpt-6-astra-xhigh-041,0,2,gpt-6-astra,True,True,True,red,❤️,,,,codex,41,2026-09-15T23:45:58.053651+00:00,False,,True,1,1,red,❤️,-0.0,-0.0,1.0,20,20,20,1.0,True,True,True,1,20
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,10.478,xhigh,0,2026-09-15T23:46:09.502666+00:00,True,0,codex-gpt-6-astra-xhigh-034,0,5,gpt-6-astra,True,True,True,red,❤️,,,,codex,34,2026-09-15T23:45:59.024565+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,8,8.0,8,1.0,True,True,True,4,32
False,False,d08a2fb35ece3b8b1753bf65a899bd10997c2cd3074731921d73fb7e8de4eb59,14.727,max,0,2026-09-15T23:46:12.463181+00:00,True,0,codex-gpt-6-astra-max-016,0,6,gpt-6-astra,True,True,True,red,❤️,,,,codex,16,2026-09-15T23:45:57.736363+00:00,False,0,True,1,1,red,❤️,-0.0,-0.0,1.0,10,10,10,1.0,True,True,True,5,50
