method,bits,budget_mib,policy_seed,correct,n,lookup_correct,correction_correct,mean_nll,mean_resident_mib,peak_cuda_allocated_gib,peak_cuda_reserved_gib,median_prefill_ms,median_total_ms
full,16,0.0,,24,24,12,12,0.14958176637689272,25.3329340616862,2.952937602996826,3.140625,506.942349999008,542.8889500008154
recency,16,4.0,,0,24,0,0,13.939097801844278,3.9990234375,2.934203624725342,3.123046875,577.4203000000853,1014.3619499995111
random,16,4.0,,0,24,0,0,14.057339350382486,3.9990234375,2.934203624725342,3.123046875,592.1147499993822,1051.1390499996196
native,16,4.0,41,0,24,0,0,4.235467091202736,3.999237060546875,2.936394214630127,3.123046875,656.9774500003405,1157.6109999996333
exposed,16,4.0,41,0,24,0,0,4.422131195664406,3.999237060546875,2.936394214630127,3.123046875,657.2237999998833,1169.5817999998326
native,16,4.0,42,3,24,2,1,2.8208028816928468,3.999237060546875,2.936394214630127,3.123046875,652.2434000007706,982.0303500000591
exposed,16,4.0,42,1,24,1,0,3.174891800309221,3.999237060546875,2.936394214630127,3.123046875,655.5893499999002,1148.3085999998366
native,16,4.0,43,5,24,5,0,3.558734066784382,3.999237060546875,2.936394214630127,3.123046875,648.5907500000394,1144.2207499994765
exposed,16,4.0,43,3,24,2,1,3.600415656963984,3.999237060546875,2.936394214630127,3.123046875,658.2379499996023,1144.0746999996918
recency,8,4.0,,0,24,0,0,14.379681587219238,3.993255615234375,2.93339204788208,3.123046875,744.7470999995858,1335.1368499997989
random,8,4.0,,0,24,0,0,12.39563661813736,3.993255615234375,2.93339204788208,3.123046875,761.5535000004456,1383.4956000000602
native,8,4.0,41,7,24,5,2,1.5451946184039116,3.99603271484375,2.935575485229492,3.123046875,872.3281000002316,1545.1585499995417
exposed,8,4.0,41,11,24,8,3,1.532343087097009,3.99603271484375,2.935575485229492,3.123046875,881.8500999996104,1245.5197499994028
native,8,4.0,42,19,24,9,10,0.5944547922505686,3.99603271484375,2.935575485229492,3.123046875,884.5127499998853,945.176100000026
exposed,8,4.0,42,21,24,12,9,0.5367456052917987,3.99603271484375,2.935575485229492,3.123046875,875.4618000002665,937.5548999996681
native,8,4.0,43,4,24,4,0,3.2751012022296586,3.99603271484375,2.935575485229492,3.123046875,878.6818999997195,1575.7896499999333
exposed,8,4.0,43,1,24,1,0,4.292263723909855,3.99603271484375,2.935575485229492,3.123046875,872.1175999999105,1572.9873999998745
recency,16,8.0,,0,24,0,0,13.660892645517984,7.998046875,2.938119411468506,3.123046875,538.8158499999918,976.7840999993496
random,16,8.0,,0,24,0,0,9.828993459542593,7.998046875,2.938119411468506,3.123046875,604.1357999993124,1076.3943499996458
native,16,8.0,41,18,24,12,6,0.7776182874416312,7.998260498046875,2.940310001373291,3.123046875,635.6124000003547,694.4348499991975
exposed,16,8.0,41,18,24,12,6,0.6888396941746274,7.998260498046875,2.940310001373291,3.123046875,511.85664999957226,567.5083500000255
native,16,8.0,42,20,24,11,9,0.3968555345200002,7.998260498046875,2.940310001373291,3.123046875,496.29505000029894,531.5047500007495
exposed,16,8.0,42,20,24,10,10,0.4733333362576862,7.998260498046875,2.940310001373291,3.123046875,500.42265000047337,536.4441499996246
native,16,8.0,43,11,24,9,2,1.2793871080502868,7.998260498046875,2.940310001373291,3.123046875,497.46849999974074,536.7614500000855
exposed,16,8.0,43,13,24,11,2,1.3222790107441444,7.998260498046875,2.940310001373291,3.123046875,519.8678999995536,587.6502999999502
recency,8,8.0,,0,24,0,0,10.761340916156769,7.98651123046875,2.9373106956481934,3.123046875,721.6778500005603,1310.618550000072
random,8,8.0,,15,24,9,6,1.6553057876881212,7.98651123046875,2.9373106956481934,3.123046875,728.6899000000631,797.4135000004026
native,8,8.0,41,24,24,12,12,0.1969579979777336,7.989288330078125,2.9394941329956055,3.123046875,814.7940499993638,877.5723499993546
exposed,8,8.0,41,24,24,12,12,0.25024722314750153,7.989288330078125,2.9394941329956055,3.123046875,809.1347499994299,870.7741499993062
native,8,8.0,42,24,24,12,12,0.20658356122051677,7.989288330078125,2.9394941329956055,3.123046875,812.8765999999814,870.8263999997143
exposed,8,8.0,42,24,24,12,12,0.20753294842628142,7.989288330078125,2.9394941329956055,3.123046875,799.4047499996668,861.6237999995064
native,8,8.0,43,18,24,12,6,1.0702320896089077,7.989288330078125,2.9394941329956055,3.123046875,812.7197500007242,874.2933000012272
exposed,8,8.0,43,18,24,11,7,0.921398705492417,7.989288330078125,2.9394941329956055,3.123046875,806.6553999997268,873.591149999811
